campaign,date,cost,impressions,clicks,sessions,transactions,revenue,revenue_web,revenue_app,Medio,TipoCampaña
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-31,$8.20,370,9,378,17,"$12,425.31","$2,723.00","$9,702.31",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2025-01-07,"$6,019.59","106,276","2,072","1,763",11,"$33,247.27","$25,215.92","$8,031.35",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2025-01-08,"$5,953.70","130,195","2,759","2,301",14,"$61,213.50","$57,645.12","$3,568.38",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2025-01-09,"$2,353.89","59,675","1,203","1,218",8,"$20,811.99","$20,572.99",$239.00,aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2025-01-10,"$9,791.82","163,015","2,949","2,651",39,"$44,171.25","$30,303.80","$13,867.45",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2025-01-11,"$4,197.64","85,577","1,210","1,320",24,"$25,237.50","$7,483.90","$17,753.60",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2025-01-12,"$6,388.54","138,270","1,292","1,210",35,"$29,809.31","$17,190.20","$12,619.11",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2025-01-13,"$8,262.94","126,464","2,164","1,861",32,"$21,784.52","$13,014.41","$8,770.11",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2025-01-14,$276.36,"8,887",181,116,2,$597.76,$0.00,$597.76,aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-15,"$7,966.44","321,630","5,640","5,016",131,"$83,471.61","$43,436.76","$40,034.85",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-16,"$7,284.39","278,416","4,636","4,192",70,"$46,795.89","$16,267.15","$30,528.74",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-17,"$5,589.30","179,749","2,824","3,223",38,"$27,115.63","$14,662.19","$12,453.44",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-18,"$6,568.35","247,997","4,854","4,815",48,"$27,429.13","$20,790.33","$6,638.80",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-19,"$6,956.10","217,293","4,071","4,497",76,"$50,289.78","$33,947.31","$16,342.47",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-20,"$6,284.65","255,020","5,105","5,757",168,"$115,365.26","$44,344.07","$71,021.19",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-21,"$7,230.20","311,785","5,882","5,570",103,"$67,311.98","$30,760.87","$36,551.11",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-22,"$7,278.20","320,598","6,396","6,212",124,"$83,526.45","$44,936.34","$38,590.11",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-23,"$6,565.79","322,323","6,873","7,171",160,"$91,215.22","$64,617.25","$26,597.97",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-24,"$5,463.84","229,944","4,381","4,432",62,"$34,808.37","$14,251.75","$20,556.62",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-25,"$4,443.19","216,448","3,579","3,981",50,"$57,362.17","$8,120.04","$49,242.13",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-26,"$6,272.36","165,766","2,981","3,921",110,"$80,947.30","$40,940.44","$40,006.86",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-27,"$6,211.39","278,257","5,585","5,903",85,"$57,348.14","$26,937.46","$30,410.68",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-28,"$5,984.60","298,313","5,923","5,796",123,"$170,485.72","$37,705.08","$132,780.64",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-29,"$6,147.47","278,316","5,616","6,043",138,"$145,622.87","$30,216.65","$115,406.22",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-30,"$7,438.73","311,928","5,148","5,849",146,"$83,358.58","$42,019.99","$41,338.59",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2024-12-31,"$1,502.99","31,938",681,"2,371",109,"$90,963.08","$14,423.45","$76,539.63",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-01,"$3,285.28","86,177","1,731","2,229",49,"$38,288.94","$11,296.06","$26,992.88",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-02,"$9,599.34","263,257","5,295","4,814",77,"$98,613.53","$70,482.63","$28,130.90",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-03,"$20,103.76","781,251","13,257","11,216",221,"$157,151.44","$79,705.31","$77,446.13",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-04,"$21,079.40","775,200","13,462","10,623",193,"$107,350.43","$49,338.85","$58,011.58",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-05,"$19,379.79","623,304","10,523","8,822",166,"$105,399.50","$38,963.36","$66,436.14",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-06,"$21,001.02","692,283","10,455","8,659",136,"$86,555.91","$42,242.80","$44,313.11",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-07,"$10,147.78","315,452","5,452","6,202",80,"$48,679.67","$24,268.72","$24,410.95",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-08,"$9,425.59","495,762","9,751","9,093",92,"$48,122.31","$25,669.37","$22,452.94",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-09,"$9,881.27","338,046","4,109","4,779",67,"$42,527.22","$22,021.53","$20,505.69",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-10,"$11,595.53","408,599","6,414","7,071",288,"$256,987.37","$83,076.05","$173,911.32",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-11,"$14,857.64","498,383","7,903","6,121",150,"$95,326.40","$27,177.10","$68,149.30",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-12,"$16,404.22","551,386","9,316","6,182",158,"$101,122.86","$24,102.75","$77,020.11",aw,PMAX
aw_chedraui_ecomm_do_pmax_super,2025-01-13,"$14,853.23","453,807","6,212","4,619",94,"$87,904.54","$10,692.31","$77,212.23",aw,PMAX
